Date,7201-日産自動車(株),7202-いすゞ自動車(株),7203-トヨタ自動車(株),7205-日野自動車(株),7211-三菱自動車(株),7261-マツダ(株),7267-ホンダ,7269-スズキ(株),7270-(株)ＳＵＢＡＲＵ,7272-ヤマハ発動機(株),4502-武田薬品工業(株),4503-アステラス製薬(株),4506-大日本住友製薬(株),4507-塩野義製薬(株),4519-中外製薬(株),4523-エーザイ(株),4543-テルモ(株),4568-第一三共(株)
1/7/2019,23.3,55,200,48,32,37.5,106.5,264,84.5,64,280,69.5,110,94,170,8,15,14
1/8/2019,1.9,5.5,80,-8,9,25.5,95,134,28.5,22,90,27.5,20,63,-50,64,-17,36
1/9/2019,3.2,36.5,51,21,12,14,40,-22,42.5,28,115,40.5,230,37,190,307,217,108
1/10/2019,-0.4,-7.5,27,-3,-4,-13.5,-29,53,-7.5,-40,0,-20,-175,-85,-80,-361,-129,-19
1/11/2019,7.7,23.5,117,13,8,10.5,75,6,28.5,38,214,16.5,-30,-40,-90,-54,-31,-21
1/15/2019,-1.8,29.5,71,3,1,-16.5,49,-46,27.5,10,-45,23,95,30,80,43,74,-14
1/16/2019,2.6,-25,-48,-6,8,-1,-9,34,50.5,-15,-48,-6.5,-10,67,0,14,24,-9
1/17/2019,0.8,-3,-54,-3,6,4.5,-4,56,9.5,6,-40,1.5,-50,30,10,93,-1,26
1/18/2019,6.4,-11.5,8,10,11,19.5,9,89,28.5,57,15,24,45,131,130,127,109,166
1/21/2019,4,-8.5,19,21,4,21,28,128,31,44,141,-3.5,105,-11,-60,-23,-20,13
1/22/2019,-3.7,-18,-33,-1,-10,-6.5,-4,-90,-8.5,-7,12,0,-65,-37,-60,3,-6,-58
1/23/2019,-3.5,-6,-64,-4,1,-10,-7,-25,-88,9,-61,-7.5,50,43,-40,-6,97,-38
1/24/2019,-4.8,3,5,12,-1,11.5,2,27,17.5,0,37,18,-40,19,0,-110,-64,46
1/25/2019,22.2,53,39,13,12,10,49,44,16.5,20,75,-36,40,-165,-190,-56,-12,20
1/28/2019,-7.4,-35.5,-75,-10,-2,-5.5,-33,-197,-1,0,9,-4,-70,55,-60,28,-114,-51
1/29/2019,-1.8,-5,-13,-26,-8,-14.5,-5,34,27.5,-8,-67,12.5,30,149,110,86,85,28
1/30/2019,-4.9,-18,-37,-17,-5,-6,-4,-133,-19,-53,57,6.5,-700,-45,10,1,-48,-18
1/31/2019,13.2,32.5,36,11,13,9,8,77,41,44,-110,61.5,-519,77,30,-298,54,24
2/1/2019,-1.5,-41,-20,-50,1,2,-4,61,-17,-8,11,83,31,54,280,193,76,218
2/4/2019,8,14,71,-6,-23,18,-113,-21,17.5,30,53,57.5,103,118,150,264,-54,-37
2/5/2019,-2.4,19.5,26,20,-3,-4,-78,40,-12.5,12,-139,-82,-100,-138,-30,151,-2,-160
2/6/2019,-0.6,-50,-49,14,2,7,-19,-249,4.5,25,108,6.5,-10,-54,80,-221,47,-110
2/7/2019,-2.2,-19.5,-128,-33,4,78,-33,-154,153,-45,35,-13.5,23,-35,10,-195,-145,-74
2/8/2019,-13.8,-46,-126,-38,-25,-40,-75.5,87,-42.5,-93,-95,-43,-63,-179,-80,-290,319,-96
2/12/2019,17.1,116.5,156,15,13,34,23.5,179,154.5,103,-20,54,60,304,120,376,114,235
2/13/2019,6.9,-46,20,4,-1,13,51,-27,-2.5,-120,101,-9,9,-47,-10,4,79,-41
2/14/2019,5.7,-33.5,-7,0,-3,-10.5,40,19,-28,-8,45,13,10,15,-10,-48,-35,-10
2/15/2019,-9,15.5,-13,1,-8,-24,-68.5,20,14.5,-75,-9,2,2,125,70,-107,-35,22
2/18/2019,13.1,33.5,50,14,10,11,30.5,109,59.5,84,29,11.5,70,105,80,214,127,84
2/19/2019,-2.7,15,42,-2,-4,-5,11,2,12,16,-8,-0.5,17,12,40,12,36,22
2/20/2019,2.6,25,93,5,-5,11.5,19,38,-42,-1,-8,18,75,30,190,137,-20,84
2/21/2019,0.6,-21.5,-59,-8,-8,-0.5,70,-73,-3.5,-14,-52,-18.5,-12,16,140,126,-4,5
2/22/2019,-1,-2.5,-11,4,0,-3,22,36,3,20,-25,14.5,-1,2,0,-113,-43,26
2/25/2019,5.2,11.5,54,7,12,11.5,26,47,21.5,71,9,-16.5,8,107,140,91,16,15
2/26/2019,5.2,19,21,4,-5,4.5,3,-6,-2,5,1,21,81,-8,50,161,143,110
2/27/2019,8.2,-0.5,-15,-9,7,10,22,-4,4,-30,92,27,-37,64,-60,213,-3,151
2/28/2019,-3.8,-29.5,-83,-10,-12,-5,-23,-77,-19.5,-41,-48,-16,-65,-61,-10,-192,-4,-44
3/1/2019,0.9,6,-9,0,10,12,2,27,3.5,-19,130,24,167,-21,10,219,87,60
3/4/2019,-0.8,-4.5,-60,16,11,-12,-41,-222,33,37,209,19.5,4,-63,50,195,72,36
3/5/2019,-22.4,-50,-20,-21,-18,-28.5,-22,-168,-58.5,-14,-125,6.5,3,-32,40,64,-37,56
3/6/2019,-1.9,-16.5,-14,-18,-9,-1.5,4,24,-43.5,-39,-45,-34.5,-15,-143,0,-110,-84,-1
3/7/2019,-19.3,-45,-10,-17,-14,-26,-50,-17,-68.5,-24,-96,-10,0,-65,120,-276,68,-6
3/8/2019,-7.4,-41.5,-53,-29,-12,-30,-54.5,-137,-74,-66,-36,-26,-29,-144,-130,-114,-42,-54
3/11/2019,10.1,-1.5,47,-6,4,3,21.5,31,40,8,70,6.5,-43,28,-40,-61,-104,55
3/12/2019,9.1,27,40,4,6,23,34,-52,8,23,57,27.5,143,43,180,214,140,121
3/13/2019,-1.4,1.5,-33,-12,1,-17.5,-25,-64,-38.5,-32,-8,-13,-92,-4,-100,-215,-10,-47
3/14/2019,1.6,5.5,-42,-1,-7,-2,1,-26,35,-17,16,5.5,8,-8,-60,-85,9,-21
3/15/2019,7.6,5.5,72,10,4,10,34,61,23,26,72,13.5,-34,110,30,104,86,62
3/18/2019,11.9,4,35,-4,-1,20,-1,-62,30,43,47,6,-96,20,-60,-9,14,61
3/19/2019,1.6,14,13,3,0,-6.5,20,-92,-8,-4,-12,9,24,22,-30,-34,-45,-7
3/20/2019,-0.6,-15.5,58,7,3,4.5,14,-95,4,1,5,4,-16,-22,60,-22,-34,13
